bank_name,total_volume_mn,approved_rate,bd_rate,td_rate
State Bank of India,6622.022189,0.902900,0.090200,0.006800
Bank of Baroda,1774.429220,0.858300,0.139500,0.002200
HDFC Bank Ltd.,1737.216436,0.930000,0.069900,0.000100
Union Bank of India,1544.225883,0.896000,0.103900,0.000100
Punjab National Bank,1470.120376,0.882000,0.111000,0.007000
Canara Bank,1251.608031,0.904800,0.092800,0.002400
Kotak Mahindra Bank,1173.985567,0.886900,0.112700,0.000300
Axis Bank Ltd.,1056.594416,0.929400,0.070500,0.000000
India Post Payments Bank Limited,923.913461,0.808200,0.188500,0.003400
Indian Bank,839.975814,0.885400,0.114000,0.000600
ICICI Bank Ltd.,794.711223,0.949500,0.048800,0.001700
Airtel Payments Bank Limited,789.121996,0.725600,0.269700,0.004700
Bank of India,764.090044,0.899800,0.093400,0.006800
Indian Overseas Bank,466.803121,0.901800,0.097400,0.000800
Central Bank of India,453.774908,0.861200,0.122500,0.016300
Uco Bank,359.225624,0.870600,0.128600,0.000900
Federal Bank Ltd.,305.659650,0.899300,0.099800,0.000900
Fino Payments Bank Ltd.,294.376352,0.761300,0.236400,0.002300
Indusind Bank Ltd.,267.270229,0.846800,0.149300,0.003900
Bank of Maharashtra,263.628283,0.897100,0.102700,0.000200
IDBI Bank Ltd.,235.994380,0.899800,0.091800,0.008500
Yes Bank Ltd.,178.473671,0.919100,0.079500,0.001400
IDFC Bank Ltd.,178.365633,0.926500,0.073000,0.000500
Karnataka Bank,168.237518,0.892800,0.105400,0.001800
The Jammu & Kashmir Bank Limited,129.458828,0.920900,0.077200,0.001900
Karur Vysya Bank,115.216589,0.923200,0.075100,0.001700
Bandhan Bank Limited,107.123257,0.934100,0.062000,0.004000
Jio Payments Bank Ltd,104.708890,0.757300,0.241700,0.001000
Baroda U.P. Bank,101.399010,0.901700,0.078800,0.019500
AU Small Finance Bank,100.425014,0.856900,0.140900,0.002200
North East Small Finance Bank Ltd,99.923222,0.940900,0.058000,0.001100
The South Indian Bank Limited,89.367662,0.926500,0.072500,0.001000
NSDL Payments Bank Limited,86.463984,0.749400,0.245300,0.005300
Punjab And Sind Bank,74.633656,0.862700,0.132400,0.004900
Rajasthan Marudhara Gramin Bank,74.239417,0.793400,0.150300,0.056300
Tamilnad Mercantile Bank Limited,71.616039,0.903200,0.086700,0.010100
Ujjivan Small Finance Bank Limited,68.946963,0.856500,0.140100,0.003300
City Union Bank,67.169037,0.912400,0.085900,0.001700
Kerala Gramin Bank,65.992002,0.924400,0.073100,0.002500
Karnataka Gramin Bank,65.726068,0.875300,0.120600,0.004100
Telangana Grameena Bank,60.035447,0.811800,0.150200,0.038000
Chaitanya Godavari Grameena Bank,55.300059,0.884400,0.114500,0.001100
Maharashtra Gramin Bank,44.747514,0.829800,0.155200,0.015000
Esaf Small Finance Bank Ltd,38.877461,0.945900,0.045300,0.008800
Saraswat Co-Operative Bank,34.528678,0.926600,0.067000,0.006400
Dbs Bank India Limited,32.914432,0.902700,0.095300,0.001900
Sarva Haryana Gramin Bank,32.554147,0.878400,0.118900,0.002700
Equitas Small Finance Bank,30.911022,0.879700,0.119500,0.000800
